date, pm25, pm10
2023/12/22, 119, 50
2023/12/23, 128, 47
2023/12/24, 125, 43
2023/12/25, 114, 48
2023/12/26, 128, 43
2023/12/27, 115, 34
2023/12/28, 95, 38
2023/12/29, 106, 45
2023/12/30, 119, 49
2023/12/31, 135, 44
2023/7/5, 30, 12
2023/7/6, 36, 11
2023/7/7, 32, 10
2023/7/8, 26, 10
2023/7/9, 30, 13
2023/7/10, 42, 16
2023/7/11, 51, 16
2023/7/12, 55, 11
2023/7/13, 38, 15
2023/7/14, 50, 10
2023/7/15, 36, 10
2023/7/16, 37, 6
2023/7/17, 22, 8
2023/7/18, 27, 10
2023/7/19, 34, 15
2023/7/20, 48, 12
2023/7/21, 43, 9
2023/7/22, 33, 8
2023/7/23, 32, 13
2023/7/24, 42, 9
2023/7/25, 33, 14
2023/7/26, 41, 13
2023/7/27, 43, 13
2023/7/28, 37, 8
2023/7/29, 27, 13
2023/7/30, 40, 16
2023/7/31, 42, 8
2023/8/1, 25, 11
2023/8/2, 31, 12
2023/8/3, 34, 11
2023/8/4, 31, 12
2023/8/5, 38, 14
2023/8/6, 50, 10
2023/8/7, 36, 9
2023/8/8, 31, 17
2023/8/9, 47, 8
2023/8/10, 24, 16
2023/8/11, 45, 8
2023/8/12, 30, 9
2023/8/13, 35, 23
2023/8/14, 61, 25
2023/8/15, 58, 19
2023/8/16, 51, 19
2023/8/17, 46, 16
2023/8/18, 43, 12
2023/8/19, 37, 11
2023/8/20, 34, 12
2023/8/21, 45, 9
2023/8/22, 31, 10
2023/8/23, 38, 9
2023/8/24, 34, 5
2023/8/25, 21, 8
2023/8/26, 27, 17
2023/8/27, 44, 30
2023/8/28, 57, 22
2023/8/29, 57, 25
2023/8/30, 60, 20
2023/8/31, 57, 21
2023/9/1, 56, 22
2023/9/2, 60, 16
2023/9/3, 46, 11
2023/9/4, 29, 21
2023/9/5, 51, 19
2023/9/6, 51, 10
2023/9/7, 34, 11
2023/9/8, 36, 7
2023/9/9, 25, 9
2023/9/10, 30, 13
2023/9/11, 43, 15
2023/9/12, 57, 14
2023/9/13, 49, 11
2023/9/14, 39, 12
2023/9/15, 40, 13
2023/9/16, 44, 14
2023/9/17, 46, 11
2023/9/18, 42, 
2023/9/22, 40, 12
2023/9/23, 44, 6
2023/9/24, 23, 11
2023/9/25, 36, 16
2023/9/26, 51, 15
2023/9/27, 48, 20
2023/9/28, 61, 23
2023/9/29, 65, 26
2023/9/30, 73, 22
2020/1/1, 138, 69
2020/1/2, 156, 60
2020/1/3, 152, 42
2020/1/4, 117, 39
2020/1/5, 81, 45
2020/1/6, 113, 51
2020/1/7, 125, 50
2020/1/8, 135, 49
2020/1/9, 129, 45
2020/1/10, 113, 45
2020/1/11, 113, 
2020/1/13, 112, 85
2020/1/14, 145, 46
2020/1/15, 114, 49
2020/1/16, 121, 21
2020/1/17, 67, 54
2020/1/18, 95, 71
2020/1/19, 133, 56
2020/1/20, 68, 77
2020/1/21, 141, 64
2020/1/22, 87, 65
2020/1/23, 136, 56
2020/1/24, 117, 44
2020/1/25, 99, 62
2020/1/26, 148, 65
2020/1/27, 134, 73
2020/1/28, 145, 50
2020/1/29, 101, 
2020/1/31, 131, 66
2020/2/1, 113, 55
2020/2/2, 135, 63
2020/2/3, 118, 64
2020/2/4, 136, 52
2020/2/5, 116, 55
2020/2/6, 108, 
2020/2/8, 124, 72
2020/2/9, 151, 68
2020/2/10, 98, 57
2020/2/11, 119, 
2020/2/13, 137, 67
2020/2/14, 121, 75
2020/2/15, 148, 80
2020/2/16, 154, 74
2020/2/17, 143, 68
2020/2/18, 157, 63
2020/2/19, 156, 
2019/10/3, 54, 19
2019/10/4, 53, 
2019/10/15, 78, 31
2019/10/16, 62, 33
2019/10/17, 68, 37
2019/10/18, 76, 40
2019/10/19, 80, 46
2019/10/20, 99, 52
2019/10/21, 93, 46
2019/10/22, 83, 61
2019/10/23, 112, 51
2019/10/24, 101, 53
2019/10/25, 113, 45
2019/10/26, 86, 36
2019/10/27, 81, 43
2019/10/28, 93, 
2019/10/31, 72, 46
2019/11/1, 98, 45
2019/11/2, 108, 
2019/11/4, 75, 44
2019/11/5, 89, 53
2019/11/6, 108, 47
2019/11/7, 92, 52
2019/11/8, 102, 35
2019/11/9, 84, 32
2019/11/10, 67, 32
2019/11/11, 71, 43
2019/11/12, 90, 44
2019/11/13, 83, 28
2019/11/14, 57, 46
2019/11/15, 80, 38
2019/11/16, 87, 38
2019/11/17, 84, 52
2019/11/18, 109, 57
2019/11/19, 130, 64
2019/11/20, 136, 62
2019/11/21, 136, 59
2019/11/22, 123, 57
2019/11/23, 123, 50
2019/11/24, 129, 53
2019/11/25, 135, 57
2019/11/26, 134, 74
2019/11/27, 143, 56
2019/11/28, 108, 60
2019/11/29, 111, 
2019/12/1, 103, 49
2019/12/2, 104, 50
2019/12/3, 110, 54
2019/12/4, 121, 61
2019/12/5, 128, 63
2019/12/6, 121, 56
2019/12/7, 102, 53
2019/12/8, 103, 51
2019/12/9, 101, 50
2019/12/10, 102, 44
2019/12/11, 99, 56
2019/12/12, 119, 23
2019/12/13, 77, 30
